pcap,window_index,window_start,window_end,pkts_per_s,bytes_per_s,tcp_per_s,udp_per_s,icmp_per_s,udp_dst_1900_per_s,udp_dst_53_per_s,udp_dst_123_per_s,udp_dst_80_per_s,udp_dst_443_per_s,iat_mean,iat_std,iat_cv,iat_median,iat_p95,iat_p99,max_bin_pkts,gini_pkts,n_unique_src_ip,n_unique_dst_ip,n_unique_src_mac,H_src_ip,H_dst_port,H_ttl,tcp_syn_over_synack,udp_ssdp_req_over_resp,udp_dns_req_over_resp,udp_ntp_req_over_resp,pkt_len_mean,pkt_len_std,pkt_len_mode,udp_1900_fraction,ssdp_msearch,ssdp_notify,ssdp_200ok,H_ST,H_MAN,H_USER_AGENT,ssdp_multicast_hit_rate,src_mac_dominance,attack,family,family_index
mixed1.pcap,0,1539954012.001079,1539954013.001079,17.0,1744.0,0.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,0.04654005169868469,0.08589983731508255,1.8457186222076416,0.014931559562683105,0.18019616603851318,0.3208632171154022,7.0,0.595588207244873,5.0,5.0,8.0,2.235926389694214,2.235926389694214,1.1488348245620728,0.0,0.0,0.0,0.0,102.5882339477539,36.27518844604492,126.19999694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411852359772,0,normal,0
mixed1.pcap,1,1539954012.501079,1539954013.501079,19.0,1922.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.04884994029998779,0.0886944979429245,1.8156521320343018,0.014931559562683105,0.26705893874168396,0.3187197744846344,7.0,0.5723684430122375,4.0,4.0,8.0,1.9182958602905273,2.251629114151001,1.251629114151001,0.0,0.0,0.0,0.0,101.15789794921875,39.836856842041016,126.19999694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631579041481018,0,normal,0
mixed1.pcap,2,1539954013.001079,1539954014.001079,13.0,1395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06273625046014786,0.09726178646087646,1.5503283739089966,0.02318406105041504,0.26208364963531494,0.31772473454475403,5.0,0.5865384340286255,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.30769348144531,38.61921691894531,101.9000015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4615384638309479,0,normal,0
mixed1.pcap,3,1539954013.501079,1539954014.501079,12.0,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0722288191318512,0.11925249546766281,1.6510374546051025,0.00872492790222168,0.3150789737701416,0.36918455362319946,5.0,0.6458333134651184,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.58333587646484,30.456138610839844,101.9000015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,normal,0
mixed1.pcap,4,1539954014.001079,1539954015.001079,21.0,2269.0,1.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.04316439479589462,0.08552133291959763,1.9812933206558228,0.012202024459838867,0.17019793391227722,0.3402083218097687,7.0,0.5416666865348816,6.0,6.0,12.0,2.5216405391693115,2.5216405391693115,1.1488348245620728,0.0,0.0,0.0,0.0,108.04762268066406,28.379194259643555,102.5999984741211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142984867096,0,normal,0
mixed1.pcap,5,1539954014.501079,1539954015.501079,18.0,1868.0,2.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.04585794731974602,0.09877671301364899,2.1539714336395264,0.013731956481933594,0.16213369369506836,0.37525320053100586,7.0,0.5972222089767456,7.0,7.0,11.0,2.75,2.75,1.0612781047821045,0.0,0.0,0.0,0.0,103.77777862548828,28.95697021484375,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222238779068,0,normal,0
mixed1.pcap,6,1539954015.001079,1539954016.001079,12.0,1403.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05317607894539833,0.0598578117787838,1.1256530284881592,0.012259960174560547,0.15435898303985596,0.1612245738506317,5.0,0.5,2.0,2.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,116.91666412353516,19.792499542236328,114.30000305175781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0,normal,0
mixed1.pcap,7,1539954015.501079,1539954016.501079,11.0,1306.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08718039840459824,0.150221049785614,1.723105788230896,0.017880558967590332,0.35431623458862305,0.47958001494407654,5.0,0.5795454382896423,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.7272720336914,19.698135375976562,114.30000305175781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363744735718,0,normal,0
mixed1.pcap,8,1539954016.001079,1539954017.001079,13.0,1404.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0479673333466053,0.06746586412191391,1.4064959287643433,0.019913077354431152,0.1841467171907425,0.22476917505264282,6.0,0.625,3.0,3.0,8.0,1.5,2.0,0.8112781047821045,0.0,0.0,0.0,0.0,108.0,32.18217468261719,126.19999694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923191547394,0,normal,0
mixed1.pcap,9,1539954016.501079,1539954017.501079,19.0,1796.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.04473283514380455,0.06063889339566231,1.3555790185928345,0.012778043746948242,0.15607474744319916,0.21715569496154785,6.0,0.41447368264198303,3.0,3.0,10.0,1.5,2.0,0.8112781047821045,0.0,0.0,0.0,0.0,94.52631378173828,41.693580627441406,126.19999694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631735801697,0,normal,0
