timestamp,switch,in_port,out_port,src_mac,dst_mac,action,notes
2025-11-12T16:29:52.173145+00:00,1,28,2,b4:ce:f6:a7:a3:c2,44:65:0d:56:cc:d3,forward,
2025-11-12T16:29:53.878823+00:00,1,2,28,44:65:0d:56:cc:d3,b4:ce:f6:a7:a3:c2,forward,
2025-11-12T16:29:57.195615+00:00,1,25,2,40:f3:08:ff:1e:da,44:65:0d:56:cc:d3,forward,
2025-11-12T16:29:57.206487+00:00,1,25,2,40:f3:08:ff:1e:da,44:65:0d:56:cc:d3,forward,
2025-11-12T16:29:58.798001+00:00,1,25,2,40:f3:08:ff:1e:da,44:65:0d:56:cc:d3,forward,
2025-11-12T16:29:58.810084+00:00,1,13,2,ec:1a:59:83:28:11,44:65:0d:56:cc:d3,forward,
2025-11-12T16:30:00.425856+00:00,1,13,2,ec:1a:59:83:28:11,44:65:0d:56:cc:d3,forward,
2025-11-12T16:30:00.438845+00:00,1,2,13,44:65:0d:56:cc:d3,ec:1a:59:83:28:11,forward,
2025-11-12T16:30:03.414139+00:00,1,10,2,ec:1a:59:79:f4:89,44:65:0d:56:cc:d3,forward,
2025-11-12T16:30:03.427026+00:00,1,10,2,ec:1a:59:79:f4:89,44:65:0d:56:cc:d3,forward,
2025-11-12T16:30:05.080865+00:00,1,2,10,44:65:0d:56:cc:d3,ec:1a:59:79:f4:89,forward,
2025-11-12T16:30:07.725082+00:00,1,17,2,74:6a:89:00:2e:25,44:65:0d:56:cc:d3,forward,
2025-11-12T16:30:07.736847+00:00,1,17,2,74:6a:89:00:2e:25,44:65:0d:56:cc:d3,forward,
2025-11-12T16:30:09.333302+00:00,1,17,2,74:6a:89:00:2e:25,44:65:0d:56:cc:d3,forward,
2025-11-12T16:30:09.348971+00:00,1,2,17,44:65:0d:56:cc:d3,74:6a:89:00:2e:25,forward,
2025-11-12T16:30:12.286369+00:00,1,6,2,30:8c:fb:2f:e4:b2,44:65:0d:56:cc:d3,forward,
2025-11-12T16:30:12.298245+00:00,1,6,2,30:8c:fb:2f:e4:b2,44:65:0d:56:cc:d3,forward,
